"","R_region","R_age","R_edu","R_income","R_health","R_height","R_happy","A_height","A_edu","A_income"
"35","Northeast",39,"Junior high school",200,"Fair",150,"Somewhat happy",170,"Junior high school",1000
"36","Northeast",44,"Junior high school",300,"Not good",158,"Somewhat happy",170,"Senior high school",1000
"37","Northeast",45,"Junior high school",0,"Not good",168,"Not too happy",170,"Senior high school",300
"38","Northeast",40,"Junior high school",40,"Good",150,"Somewhat happy",168,"Junior high school",500
"39","Northeast",40,"Junior college",700,"Not good",161,"Somewhat happy",170,"Junior college",800
"40","Northeast",34,"Senior high school",0,"Not good",161,"Very unhappy",174,"Junior college",700
"41","Northeast",37,"Senior high school",200,"Not good",156,"Not too happy",170,"Junior high school",300
"42","Northeast",45,"Junior high school",0,"Fair",162,"Not too happy",180,"Senior high school",500
"43","Northeast",41,"Junior college",400,"Fair",158,"Somewhat happy",169,"Senior high school",500
"44","Northeast",61,"Elementary school",300,"Fair",162,"Somewhat happy",170,"Elementary school",600
"45","Northeast",30,"Junior college",300,"Excellent",163,"Somewhat happy",178,"Junior college",600
"46","Northeast",25,"Senior high school",0,"Fair",170,"Very happy",174,"Junior high school",500
"47","Northeast",40,"Junior high school",0,"Not good",159,"Somewhat happy",170,"Junior high school",700
"48","Northeast",45,"Junior high school",400,"Fair",164,"Very happy",183,"Junior high school",500
"49","Northeast",39,"Junior high school",1000,"Fair",156,"Somewhat happy",172,"Junior high school",300
"50","Northeast",27,"Junior high school",0,"Fair",156,"Not too happy",170,"Junior high school",0
"51","Northeast",50,"Junior high school",500,"Good",168,"Somewhat happy",180,"Junior high school",800
"52","Northeast",43,"Junior high school",400,"Excellent",152,"Somewhat happy",164,"Junior high school",400
"53","Northeast",35,"Junior high school",300,"Good",162,"Somewhat happy",176,"Junior high school",0
"54","Northeast",37,"Senior high school",500,"Good",160,"Somewhat happy",171,"Junior high school",500
"55","Northeast",44,"Junior high school",900,"Good",155,"Somewhat happy",168,"Junior high school",500
"56","Northeast",39,"Junior high school",200,"Good",158,"Somewhat happy",169,"Junior high school",500
"57","Northeast",29,"Junior high school",800,"Good",162,"Somewhat happy",180,"Junior high school",200
"58","Northeast",34,"Senior high school",600,"Excellent",162,"Somewhat happy",174,"Senior high school",500
"59","Northeast",39,"Senior high school",300,"Excellent",160,"Very happy",170,"Senior high school",300
"60","Northeast",45,"Senior high school",100,"Poor",168,"Very happy",180,"Junior high school",800
"61","Northeast",44,"Junior high school",2000,"Not good",158,"Somewhat happy",179,"Junior college",400
"62","Northeast",32,"Junior high school",200,"Not good",170,"Somewhat happy",170,"Junior high school",2000
"63","Northeast",43,"Junior high school",0,"Good",163,"Somewhat happy",173,"Junior high school",4000
"64","Northeast",58,"Junior high school",800,"Excellent",150,"Very happy",175,"Senior high school",1000
"65","Northeast",48,"Senior high school",0,"Excellent",156,"Very happy",165,"Senior high school",1000
"66","Northeast",45,"Senior high school",500,"Excellent",158,"Somewhat happy",173,"Junior high school",400
"67","Northeast",50,"Elementary school",300,"Not good",160,"Not too happy",175,"Junior high school",900
"68","Northeast",24,"Senior high school",30,"Fair",162,"Not too happy",170,"Junior high school",700
"69","Northeast",47,"Junior high school",600,"Fair",168,"Somewhat happy",176,"Senior high school",900
"70","Northeast",26,"Junior college",200,"Good",158,"Somewhat happy",175,"Junior college",800
"71","Northeast",31,"Senior high school",500,"Excellent",170,"Somewhat happy",190,"Junior college",900
"72","Northeast",43,"Junior high school",600,"Excellent",162,"Very happy",172,"Junior high school",1000
"73","Northeast",27,"Junior high school",600,"Excellent",163,"Very happy",175,"Junior high school",2000
"74","Northeast",27,"Senior high school",500,"Fair",160,"Somewhat happy",172,"Senior high school",500
"75","Northeast",33,"Senior high school",500,"Excellent",160,"Very happy",170,"Senior high school",1000
"76","Northeast",21,"Junior high school",400,"Fair",160,"Very happy",174,"Junior high school",600
"77","Northeast",35,"Junior high school",1000,"Not good",150,"Somewhat happy",162,"Junior high school",0
"78","Northeast",45,"Junior high school",300,"Good",152,"Not too happy",163,"Junior high school",500
"79","Northeast",53,"Junior high school",1000,"Good",160,"Somewhat happy",168,"Senior high school",1000
"80","Northeast",39,"Junior high school",300,"Fair",163,"Somewhat happy",160,"Junior high school",200
"81","Northeast",45,"Senior high school",500,"Good",160,"Somewhat happy",186,"Senior high school",500
"82","Northeast",35,"Junior high school",300,"Fair",164,"Not too happy",180,"Elementary school",800
"83","Northeast",50,"Junior high school",700,"Fair",154,"Somewhat happy",168,"Junior high school",400
"84","Northeast",44,"Senior high school",1000,"Good",168,"Very happy",178,"University",1000
"85","Northeast",34,"Junior high school",0,"Not good",158,"Not too happy",180,"Junior high school",1000
"86","Northeast",47,"Never attended school",100,"Fair",166,"Somewhat happy",167,"Junior college",800
"87","Northeast",45,"Junior college",1000,"Good",156,"Not too happy",170,"Senior high school",1000
"88","Northeast",26,"Senior high school",400,"Good",172,"Somewhat happy",182,"Senior high school",3000
"89","Northeast",35,"Senior high school",400,"Excellent",168,"Not too happy",175,"Junior high school",800
"90","Northeast",21,"Senior high school",200,"Excellent",158,"Very happy",172,"Senior high school",600
"91","Northeast",46,"Junior high school",0,"Fair",156,"Somewhat happy",169,"Junior high school",1000
"92","Northeast",27,"Elementary school",0,"Not good",150,"Very unhappy",170,"Elementary school",1000
"93","Northeast",42,"Junior college",600,"Not good",156,"Somewhat happy",171,"Junior high school",300
"94","Northeast",43,"Senior high school",700,"Good",172,"Not too happy",174,"Senior high school",0
"95","Northeast",37,"Junior high school",0,"Not good",168,"Not too happy",178,"Junior high school",1000
"96","Northeast",26,"Junior high school",0,"Excellent",162,"Somewhat happy",167,"Junior high school",3000
"97","Northeast",21,"Senior high school",300,"Good",160,"Somewhat happy",174,"Senior high school",400
"98","Northeast",26,"Senior high school",300,"Good",160,"Not too happy",172,"Junior high school",2000
"99","Northeast",34,"Junior college",900,"Good",165,"Somewhat happy",175,"Junior college",600
"100","Northeast",26,"Junior high school",500,"Fair",167,"Somewhat happy",180,"Junior high school",1000
"101","Northeast",32,"Senior high school",500,"Excellent",145,"Somewhat happy",170,"Junior high school",500
"102","Northeast",57,"Elementary school",0,"Good",155,"Very happy",172,"Senior high school",600
"103","Northeast",30,"Junior high school",800,"Good",159,"Very happy",172,"Senior high school",1000
"104","Northeast",27,"Junior high school",500,"Fair",150,"Not too happy",168,"Senior high school",800
"105","Northeast",64,"Junior high school",200,"Good",159,"Somewhat happy",179,"Senior high school",700
"106","Northeast",41,"Junior high school",0,"Excellent",161,"Very happy",172,"Junior high school",4000
"107","Northeast",39,"Junior high school",0,"Good",161,"Somewhat happy",178,"Junior high school",2000
"108","Northeast",32,"Junior high school",2000,"Good",160,"Somewhat happy",173,"Junior high school",2000
"109","Northeast",49,"Junior high school",600,"Excellent",158,"Somewhat happy",165,"Senior high school",700
"110","Northeast",37,"Junior high school",300,"Good",159,"Somewhat happy",165,"Junior high school",600
"111","Northeast",27,"Senior high school",400,"Good",170,"Somewhat happy",180,"Senior high school",800
"112","Northeast",32,"Senior high school",0,"Fair",162,"Somewhat happy",173,"Senior high school",1000
"113","Northeast",36,"Junior college",0,"Excellent",158,"Not too happy",172,"Senior high school",1000
"114","Northeast",41,"Junior high school",2000,"Excellent",162,"Very happy",165,"Junior high school",1000
"115","Northeast",56,"Senior high school",0,"Not good",160,"Not too happy",172,"Junior high school",700
"116","Northeast",36,"Junior high school",0,"Not good",162,"Not too happy",175,"Senior high school",800
"117","Northeast",42,"Elementary school",2000,"Not good",163,"Somewhat happy",162,"Junior high school",1000
"118","Northeast",48,"Elementary school",500,"Good",162,"Very happy",174,"Junior high school",800
"119","Northeast",52,"Junior high school",0,"Good",158,"Somewhat happy",163,"Elementary school",80
"120","Northeast",51,"Junior college",900,"Excellent",162,"Very happy",175,"Junior college",900
"121","Northeast",48,"Junior high school",400,"Not good",164,"Not too happy",172,"Junior high school",500
"122","Northeast",33,"Junior high school",500,"Good",158,"Very happy",168,"Junior high school",400
"123","Northeast",31,"University",800,"Excellent",172,"Somewhat happy",178,"Junior high school",0
"124","Northeast",56,"Senior high school",700,"Good",156,"Somewhat happy",172,"Junior college",800
"125","Northeast",45,"Junior high school",200,"Fair",150,"Somewhat happy",165,"Junior high school",400
"126","Northeast",46,"Junior high school",200,"Fair",166,"Somewhat happy",173,"Junior high school",200
"127","Northeast",42,"Junior high school",200,"Fair",167,"Somewhat happy",173,"Senior high school",300
"128","Northeast",52,"Junior high school",300,"Not good",158,"Somewhat happy",172,"Junior high school",300
"129","Northeast",36,"Junior high school",100,"Fair",162,"Somewhat happy",162,"Junior high school",200
"130","Northeast",38,"Junior high school",500,"Fair",167,"Somewhat happy",170,"Junior high school",500
"131","Northeast",38,"Junior high school",1000,"Fair",150,"Somewhat happy",160,"Senior high school",300
"132","Northeast",45,"Junior high school",2000,"Excellent",154,"Somewhat happy",170,"Junior high school",3000
"133","Northeast",27,"Junior high school",400,"Fair",164,"Somewhat happy",173,"Junior high school",800
"134","Northeast",27,"Senior high school",0,"Fair",162,"Somewhat happy",170,"Junior high school",1000
"135","Northeast",36,"Junior high school",300,"Fair",166,"Somewhat happy",181,"Junior high school",300
"136","Northeast",44,"Junior high school",200,"Not good",164,"Not too happy",174,"Elementary school",300
"137","Northeast",44,"Senior high school",300,"Good",159,"Somewhat happy",163,"Elementary school",400
"138","Northeast",45,"Junior college",0,"Fair",160,"Not too happy",172,"Senior high school",500
"139","Northeast",36,"Junior high school",100,"Not good",164,"Somewhat happy",173,"Senior high school",300
"140","Northeast",35,"Senior high school",400,"Good",156,"Somewhat happy",168,"Junior high school",600
"141","Northeast",55,"Senior high school",400,"Fair",160,"Very unhappy",170,"Junior college",500
"142","Northeast",45,"Junior high school",400,"Good",164,"Somewhat happy",174,"Junior high school",100
"143","Northeast",58,"Elementary school",200,"Not good",158,"Very unhappy",168,"Elementary school",200
"144","Northeast",27,"Senior high school",600,"Good",168,"Very happy",172,"Junior college",800
"145","Northeast",34,"Junior high school",300,"Good",162,"Not too happy",175,"Senior high school",400
"146","Northeast",45,"Junior college",800,"Fair",156,"Somewhat happy",173,"Senior high school",600
"147","Northeast",52,"Senior high school",300,"Not good",160,"Not too happy",175,"Elementary school",200
"148","Northeast",29,"Senior high school",200,"Good",158,"Somewhat happy",173,"University",400
"149","Northeast",26,"Senior high school",50,"Good",158,"Somewhat happy",168,"Junior high school",500
"150","Northeast",39,"Junior high school",50,"Good",160,"Somewhat happy",170,"Junior high school",200
"151","Northeast",21,"Senior high school",0,"Good",167,"Somewhat happy",173,"Junior high school",800
"152","Northeast",26,"Senior high school",0,"Excellent",158,"Very happy",179,"Senior high school",3000
"153","Northeast",28,"Junior high school",400,"Good",162,"Very happy",174,"Junior high school",400
"154","Northeast",49,"Elementary school",200,"Fair",164,"Somewhat happy",175,"Elementary school",300
"155","Northeast",43,"Junior high school",0,"Fair",158,"Not too happy",172,"Junior high school",500
"156","Northeast",36,"Junior high school",400,"Fair",155,"Not too happy",170,"Junior high school",100
"157","Northeast",44,"Junior college",1000,"Good",168,"Somewhat happy",176,"Senior high school",500
"158","Northeast",40,"Junior high school",0,"Fair",158,"Somewhat happy",173,"Junior high school",500
"159","Northeast",40,"Junior high school",1000,"Good",166,"Somewhat happy",177,"Junior high school",0
"160","Northeast",39,"Junior high school",500,"Good",159,"Not too happy",176,"Junior high school",500
"161","Northeast",28,"Junior high school",60,"Fair",158,"Somewhat happy",170,"Junior high school",400
"162","Northeast",44,"Junior high school",300,"Fair",160,"Somewhat happy",173,"Junior high school",600
"163","Northeast",46,"Senior high school",600,"Good",168,"Very happy",178,"Junior high school",600
"164","Northeast",45,"Elementary school",300,"Fair",156,"Somewhat happy",175,"Junior high school",300
"165","Northeast",39,"Junior high school",200,"Fair",164,"Somewhat happy",168,"Junior high school",400
"166","Northeast",39,"Elementary school",100,"Poor",172,"Very unhappy",176,"Junior high school",0
"167","Northeast",40,"Junior high school",300,"Fair",166,"Somewhat happy",172,"Junior high school",600
"168","Northeast",38,"Junior high school",3000,"Fair",164,"Somewhat happy",170,"Senior high school",500
"169","North",39,"Junior high school",400,"Good",168,"Somewhat happy",165,"Junior high school",700
"170","North",61,"Senior high school",500,"Fair",160,"Very unhappy",178,"Junior college",900
"171","North",57,"Junior high school",300,"Excellent",155,"Very happy",173,"Senior high school",800
"172","North",34,"Senior high school",500,"Not good",158,"Somewhat happy",170,"Junior high school",600
"173","North",51,"Junior high school",700,"Fair",157,"Somewhat happy",175,"Senior high school",800
"174","North",52,"University",1000,"Fair",158,"Not too happy",174,"University",2000
"175","North",57,"Senior high school",700,"Fair",167,"Somewhat happy",173,"Junior college",1000
"176","North",58,"Junior college",1000,"Fair",159,"Somewhat happy",180,"Senior high school",1000
"177","North",32,"University",400,"Good",155,"Somewhat happy",170,"University",700
"178","North",26,"Senior high school",500,"Fair",158,"Very happy",170,"Senior high school",500
"179","North",40,"Junior high school",600,"Fair",158,"Somewhat happy",175,"Junior high school",700
"180","North",37,"Senior high school",400,"Good",153,"Somewhat happy",171,"Senior high school",1000
"181","North",36,"Senior high school",200,"Good",170,"Somewhat happy",175,"Senior high school",600
"182","North",40,"Senior high school",400,"Excellent",154,"Somewhat happy",172,"Senior high school",700
"183","North",37,"Senior high school",400,"Fair",162,"Somewhat happy",172,"Senior high school",700
"184","North",45,"Junior high school",800,"Fair",158,"Somewhat happy",178,"Junior high school",800
"185","North",29,"Senior high school",500,"Fair",162,"Somewhat happy",173,"Senior high school",600
"186","North",40,"Senior high school",200,"Fair",158,"Very happy",173,"Senior high school",700
"187","North",52,"Junior high school",300,"Excellent",165,"Very happy",163,"Junior high school",500
"188","North",34,"Junior college",700,"Excellent",164,"Very happy",181,"Senior high school",1000
"189","North",41,"Junior college",400,"Fair",157,"Somewhat happy",165,"Junior high school",700
"190","North",32,"Senior high school",1000,"Good",164,"Somewhat happy",172,"Junior college",1000
"191","North",42,"Junior high school",0,"Good",160,"Somewhat happy",170,"Junior high school",700
"192","North",48,"Junior high school",600,"Fair",154,"Somewhat happy",173,"Junior high school",700
"193","North",42,"Junior college",1000,"Good",159,"Somewhat happy",168,"University",1000
"194","North",29,"Senior high school",400,"Good",160,"Somewhat happy",180,"Junior college",1000
"195","North",28,"Junior high school",400,"Good",170,"Somewhat happy",177,"Junior high school",500
"196","North",32,"Junior high school",600,"Good",156,"Somewhat happy",175,"Junior high school",600
"197","North",56,"Never attended school",0,"Not good",156,"Somewhat happy",163,NA,500
"198","North",42,"Elementary school",700,"Good",152,"Somewhat happy",165,"Elementary school",900
"199","North",26,"Junior high school",3000,"Good",156,"Somewhat happy",172,"Senior high school",3000
"200","North",33,"Junior high school",500,"Fair",151,"Somewhat happy",165,"Junior high school",600
"201","North",48,"Never attended school",200,"Fair",155,"Very happy",169,"Elementary school",400
"202","North",48,"Elementary school",300,"Excellent",164,"Somewhat happy",177,"University",1000
"203","North",40,"Junior high school",500,"Excellent",158,"Somewhat happy",164,"Junior high school",700
"204","North",34,"Junior college",600,"Good",162,"Somewhat happy",174,"Senior high school",700
"205","North",52,"Elementary school",0,"Not good",165,"Not too happy",172,"Junior high school",700
"206","North",45,"Elementary school",200,"Fair",156,"Somewhat happy",170,"Elementary school",700
"207","North",29,"Junior high school",300,"Excellent",159,"Very happy",170,"Junior high school",600
"208","North",34,"Senior high school",400,"Fair",160,"Somewhat happy",170,"Senior high school",500
"209","North",50,"Elementary school",0,"Not good",157,"Not too happy",170,"Elementary school",500
"210","North",49,"Never attended school",0,"Fair",157,"Somewhat happy",170,"Elementary school",500
"211","North",46,"Elementary school",100,"Good",156,"Very happy",165,"Elementary school",400
"212","North",54,"Junior high school",0,"Not good",152,"Not too happy",160,"Junior high school",0
"213","North",30,"Elementary school",0,"Good",163,"Somewhat happy",160,"Senior high school",500
"214","North",55,"Senior high school",50,"Fair",150,"Somewhat happy",165,"Junior college",700
"215","North",42,"Elementary school",300,"Good",156,"Somewhat happy",170,"Elementary school",300
"216","North",28,"Junior high school",400,"Fair",150,"Somewhat happy",165,"Senior high school",700
"217","North",44,"Elementary school",0,"Excellent",162,"Very happy",174,"Junior high school",700
"218","North",29,"Elementary school",0,"Excellent",157,"Very happy",165,"Junior high school",0
"219","North",32,"Junior high school",200,"Fair",156,"Somewhat happy",175,"Junior high school",200
"220","North",32,"Junior college",1000,"Not good",160,"Somewhat happy",174,"Junior college",2000
"221","North",35,"Junior high school",300,"Fair",158,"Somewhat happy",168,"Elementary school",300
"222","North",47,"Never attended school",200,"Not good",150,"Not too happy",161,"Elementary school",200
"223","North",35,"Elementary school",30,"Not good",169,"Somewhat happy",170,"Elementary school",30
"224","North",41,"Junior high school",100,"Good",162,"Somewhat happy",165,"Elementary school",100
"225","North",36,"Elementary school",60,"Good",157,"Somewhat happy",160,"Junior high school",60
"226","North",42,"Senior high school",30,"Good",158,"Somewhat happy",160,"Senior high school",30
"227","North",44,"Never attended school",200,"Excellent",165,"Not too happy",177,"Junior high school",200
"228","North",56,"Elementary school",600,"Good",162,"Somewhat happy",172,"Elementary school",600
"229","North",26,"Senior high school",200,"Good",155,"Somewhat happy",160,"Elementary school",200
"230","North",39,"Never attended school",100,"Fair",160,"Not too happy",175,"Senior high school",100
"231","North",36,"Senior high school",400,"Excellent",166,"Very happy",170,"Junior high school",800
"232","North",44,"Elementary school",200,"Fair",162,"Somewhat happy",168,"Senior high school",200
"233","North",48,"Elementary school",100,"Good",165,"Somewhat happy",178,"Junior high school",100
"234","North",46,"Elementary school",200,"Not good",158,"Somewhat happy",180,"Elementary school",200
"235","North",45,"Elementary school",80,"Poor",150,"Very unhappy",170,"Elementary school",80
"236","North",25,"Elementary school",200,"Fair",147,"Not too happy",170,"Junior high school",200
"237","North",51,"Elementary school",300,"Fair",156,"Not too happy",178,"Senior high school",300
"238","North",41,"Never attended school",40,"Fair",162,"Somewhat happy",165,"Junior high school",40
"239","North",25,"Junior high school",100,"Excellent",167,"Somewhat happy",167,"Junior high school",100
"240","North",40,"Junior high school",600,"Good",158,"Not too happy",170,"Senior high school",600
"241","North",39,"Junior high school",100,"Good",170,"Very happy",170,"Junior high school",100
"242","North",45,"Junior high school",200,"Excellent",150,"Somewhat happy",160,"Elementary school",200
"243","North",37,"Junior high school",200,"Good",153,"Very happy",175,"Junior high school",200
"244","North",41,"Senior high school",100,"Poor",159,"Not too happy",175,"Junior high school",100
"245","North",39,"Elementary school",500,"Fair",150,"Very happy",165,"Junior high school",500
"246","North",30,"Elementary school",300,"Good",167,"Somewhat happy",169,"Junior high school",300
"247","North",50,"Never attended school",400,"Good",158,"Somewhat happy",167,"Senior high school",400
"248","North",60,"Elementary school",100,"Fair",160,"Somewhat happy",175,"Never attended school",100
"249","North",35,"Junior high school",300,"Good",165,"Somewhat happy",165,"Junior high school",300
"250","North",47,"Junior high school",400,"Good",154,"Somewhat happy",178,"Junior high school",900
"251","North",44,"Elementary school",300,"Not good",160,"Somewhat happy",160,"Junior high school",900
"252","North",32,"Junior college",1000,"Not good",160,"Somewhat happy",174,"Junior college",2000
"253","North",27,"Senior high school",900,"Good",160,"Somewhat happy",170,"Junior college",1000
"254","North",49,"Junior high school",800,"Not good",163,"Not too happy",170,"Junior high school",800
"255","North",28,"University",1000,"Fair",155,"Somewhat happy",172,"University",1000
"256","North",47,"Junior high school",700,"Fair",162,"Not too happy",178,"Elementary school",800
"257","North",25,"Junior college",400,"Good",157,"Somewhat happy",170,"Senior high school",1000
"258","North",42,"Elementary school",800,"Fair",156,"Not too happy",172,"Senior high school",900
"259","North",31,"University",800,"Good",150,"Not too happy",172,"Senior high school",2000
"260","North",50,"Senior high school",900,"Fair",158,"Somewhat happy",162,"Junior high school",1000
"261","North",42,"Junior high school",800,"Excellent",155,"Somewhat happy",165,"Junior high school",200
"262","North",37,"University",1000,"Not good",163,"Somewhat happy",172,"Junior college",1000
"263","North",30,"Senior high school",700,"Fair",162,"Somewhat happy",169,"Senior high school",1000
"264","North",51,"Elementary school",0,"Fair",156,"Very happy",166,"Elementary school",700
"265","North",30,"Junior college",600,"Poor",156,"Not too happy",170,"Senior high school",800
"266","North",31,"Junior high school",400,"Excellent",158,"Very happy",168,"Junior high school",1000
"267","North",31,"Junior high school",600,"Fair",165,"Somewhat happy",168,"Junior high school",900
"268","North",52,"Junior high school",900,"Fair",164,"Somewhat happy",178,"Senior high school",1000
"269","North",29,"Junior college",1000,"Good",164,"Somewhat happy",176,"Senior high school",1000
"270","North",56,"Junior high school",700,"Good",160,"Very happy",176,"Junior high school",1000
"271","North",34,"Senior high school",600,"Good",160,"Somewhat happy",176,"Junior college",800
"272","North",53,"Senior high school",500,"Fair",165,"Very happy",171,"Elementary school",700
"273","North",53,"Junior high school",200,"Fair",162,"Somewhat happy",160,"Junior high school",1000
"274","North",27,"Senior high school",300,"Fair",155,"Somewhat happy",170,"Senior high school",1000
"275","North",46,"Elementary school",400,"Fair",156,"Somewhat happy",168,"Elementary school",1000
"276","North",27,"Junior college",500,"Good",163,"Somewhat happy",173,"Senior high school",2000
"277","North",31,"University",1000,"Fair",158,"Somewhat happy",164,"University",1000
"278","North",41,"Senior high school",0,"Not good",154,"Somewhat happy",164,"Junior high school",700
"279","North",45,"Elementary school",0,"Fair",164,"Very happy",173,"Senior high school",800
"280","North",34,"Senior high school",800,"Good",158,"Somewhat happy",178,"Junior high school",900
"281","North",26,"Senior high school",500,"Fair",157,"Somewhat happy",170,"Senior high school",1000
"282","North",31,"Senior high school",800,"Good",160,"Somewhat happy",172,"University",1000
"283","North",37,"Senior high school",900,"Good",155,"Very happy",170,"Junior high school",1000
"284","North",37,"Senior high school",1000,"Good",163,"Somewhat happy",178,"Senior high school",1000
"285","North",27,"Senior high school",600,"Fair",160,"Somewhat happy",178,"Senior high school",1000
"286","North",29,"Senior high school",500,"Fair",161,"Somewhat happy",176,"Senior high school",1000
"287","North",29,"Junior college",1000,"Excellent",155,"Somewhat happy",172,"Junior high school",1000
"288","North",31,"Junior college",700,"Good",158,"Somewhat happy",172,"Senior high school",800
"289","North",30,"Junior high school",400,"Good",160,"Not too happy",170,"Junior high school",500
"290","North",37,"Junior high school",400,"Good",156,"Somewhat happy",174,"Senior high school",500
"291","North",47,"Junior high school",600,"Good",158,"Somewhat happy",170,"Junior high school",700
"292","North",56,"Senior high school",900,"Excellent",156,"Somewhat happy",170,"Elementary school",900
"293","North",37,"Junior high school",400,"Fair",164,"Somewhat happy",178,"Senior high school",700
"294","North",24,"Junior high school",500,"Excellent",160,"Very happy",173,"Senior high school",1000
"295","North",35,"Senior high school",800,"Excellent",160,"Somewhat happy",176,"Junior high school",1000
"296","North",35,"Never attended school",100,"Excellent",160,"Very happy",170,"Never attended school",100
"297","North",23,"Senior high school",700,"Good",166,"Very happy",170,"Junior high school",1000
"298","North",36,"Junior college",800,"Good",162,"Somewhat happy",175,"Senior high school",1000
"299","North",36,"Junior high school",1000,"Fair",156,"Somewhat happy",173,"Junior high school",1000
"300","North",60,"University",1000,"Fair",150,"Somewhat happy",168,"Junior college",1000
"301","North",28,"Senior high school",500,"Excellent",156,"Somewhat happy",183,"Senior high school",400
"302","North",59,"Never attended school",200,"Good",160,"Somewhat happy",168,"Elementary school",1000
"303","North",41,"Junior high school",1000,"Good",154,"Somewhat happy",170,"Junior college",1000
"304","North",33,"Junior high school",600,"Good",168,"Somewhat happy",169,"Junior high school",1000
"305","North",33,"Senior high school",500,"Good",160,"Somewhat happy",170,"Senior high school",2000
"306","North",29,"Senior high school",800,"Fair",165,"Somewhat happy",179,"Senior high school",500
"307","North",27,"Junior college",500,"Good",165,"Somewhat happy",176,"Senior high school",1000
"308","North",61,"Never attended school",200,"Fair",155,"Very happy",174,"Never attended school",2000
"309","North",30,"Junior high school",800,"Good",158,"Somewhat happy",162,"Junior high school",800
"310","North",57,"Junior high school",800,"Fair",161,"Somewhat happy",174,"Junior high school",1000
"311","Central West",39,"Junior high school",80,"Good",170,"Very happy",170,"Senior high school",80
"312","Central West",42,"Never attended school",20,"Good",156,"Somewhat happy",178,"Junior high school",20
"313","Central West",49,"Never attended school",30,"Good",160,"Somewhat happy",170,"Never attended school",30
"314","Central West",33,"Elementary school",60,"Good",150,"Not too happy",167,"Senior high school",200
"315","Central West",30,"Never attended school",30,"Excellent",155,"Somewhat happy",170,"Elementary school",30
"316","Central West",46,"Never attended school",100,"Good",160,"Not too happy",165,"Elementary school",0
"317","Central West",34,"Elementary school",10,"Not good",156,"Not too happy",170,"Elementary school",10
"318","Central West",33,"Never attended school",100,"Good",160,"Somewhat happy",165,"Senior high school",100
"319","Central West",30,"Junior high school",10,"Fair",159,"Not too happy",168,"Junior high school",10
