Key,Value,,Key,Metric
2056-97d0-4333-9e87-8df4c,0.28,,5736-8071-4a86-b66b-3ebef,0
2a46-5cfd-480b-9cc7-19003,0.13,,9de2-3ccd-4660-a30b-83b7a,0
3da0-c51b-4ea2-a030-22447,0.13,,2f90-71f9-4cc4-85ee-fed49,0
52ce-fc17-408b-a77d-34b82,0.29,,507d-2a42-4bfd-86d2-e4761,0
764a-c5d6-4900-87ce-c7b37,0.26,,b48e-27e0-48c0-971e-270cd,0
797a-fd5f-499f-812b-7f5ea,0.44,,6fee-6d90-4cd2-acff-fd5e0,0
8733-df60-40f4-b114-f2ec6,0.11,,fffb-12fb-458c-a902-a401f,0
9114-93d0-45c7-ad8c-b639b,0.12,,ee03-6cc3-4e4e-ab7a-3cfa8,0
9921-9183-45fd-a9ad-1785b,0.2,,4748-b8f9-4528-9d28-18474,0
99fc-ac91-410e-927c-9cc56,0.26,,2eb0-4311-41b2-abe4-2a0c4,0
a057-2e06-4eeb-a0a8-eaff1,0.51,,08e6-de42-4f75-8f4f-fc001,0
bafa-5aa8-4cb7-8414-d5e75,0.06,,0b3a-3f67-4811-bac4-1c6c4,0
bc23-01c8-4f63-a031-90eb0,0.44,,c8b2-7a8e-43fd-b468-85dc7,0
d292-80bc-46ed-84aa-bd16d,0.22,,6ff9-fbad-41cb-966a-e5304,0
e4a3-02f6-460d-baf9-8bc24,0.21,,0da1-2956-4f4f-a95f-1158b,0
122d-1ad3-415d-b4e3-25831,0.37,,a646-b41f-4953-bad4-84f31,0
3c0c-57dc-41f0-b9e4-8a4a0,0.24,,70b9-86d9-43ea-b836-02b1f,0
42e9-b8a8-4646-9f33-af9ae,0.39,,b0df-7f93-47ee-b7ad-92621,0
526d-ae05-4416-9084-98eea,0.15,,806d-f9ad-4761-a8ed-a4a26,0
7a65-78ee-4273-be78-c200a,0.3,,d5f3-2463-4adc-bb9c-87cf6,0
95d6-be95-4aee-b653-04cf5,0.1,,41c1-d167-4536-9981-a9691,0
d161-5e88-450a-adec-49e32,0.22,,dee5-99f8-4fd5-a9dc-0e574,0
dd21-704a-4773-a2eb-b94f1,0.23,,ac5d-f285-4598-9dfd-74e98,0
dd40-e6ef-4c4f-aedf-755c6,0.22,,c411-dd42-4caf-8d3c-0385c,0
de2a-6ef1-4230-bc0e-7ae53,0.1,,c411-dd42-4caf-8d3c-0385c,0
de9a-c475-4311-a18d-0ad1d,0.12,,dc9d-7e83-4b8c-beb6-d1245,0
e0ce-e8d1-4e2d-9e38-c7b57,0.25,,dc9d-7e83-4b8c-beb6-d1245,0
e3dd-0939-4ce8-96ff-fe246,0.07,,6d53-d207-4efe-81ee-82b66,0
e795-fb03-47e0-ac25-983fb,0.1,,ff06-09b9-4c4c-887d-10dea,0
eb15-55c1-4443-8fad-5f546,0.3,,f233-f274-439c-83d0-95f38,0
ed55-b452-4bfb-8191-6a3f2,0.16,,cec9-92f7-43fa-9e32-dbf24,0
ed82-8db4-43cb-9108-125d4,0.19,,fc3b-82f0-47d7-be20-b57e7,0
f10a-435b-40d7-a47c-bf0c6,0.2,,9fff-6055-42a1-98dd-8536c,0
22a1-ba89-4207-a7b0-fcc0f,0.07,,4252-2854-47f9-9756-ced99,0
3c04-0bdf-4045-9d3f-50320,0.31,,9f5d-0d85-4950-be97-5a218,0
4358-9fbe-4870-8329-43d72,0.16,,60c3-b795-4594-a3f3-e8235,0
5d04-16c7-4a52-9c75-5585e,0.24,,d5b4-0b43-4931-ad99-92462,0
6008-02dd-436a-8962-ae779,0.31,,d794-0e77-4110-8a51-1bf72,0
627d-a4da-4077-a9e9-dae33,0.1,,cfa1-28a1-4d67-8b11-739bb,0
8bbd-16ec-4faa-92d9-5be74,0.14,,fb02-4b48-4c25-a3f4-1c3a1,0
9377-0762-4db6-8c20-9663d,0.23,,a98e-a6e9-45fb-bc47-633dd,0
93cc-8d2e-4b3f-9998-2edad,0.07,,aa7b-1468-40f5-9c04-99ac9,0
993e-796d-41a8-87a1-5910b,0.26,,49dc-6f28-494e-9cee-c1f57,0
a6f7-dbc0-41ef-baa2-dea5d,0.14,,84c1-5934-41a8-9643-bbf61,0
af7c-f92b-457d-9b47-5bc35,0.23,,18de-bfac-492f-82bd-1a5a3,0
b380-9d38-4520-b629-064ed,0.2,,16e6-af8f-4388-a4b7-817e8,0
d013-2acd-4cfb-a74f-1f704,0.3,,ae8c-272d-4b45-b66c-89f02,0
d15b-5900-4e98-8a89-f63c1,0.12,,3f65-bd23-426e-ae96-08838,0
d17c-51bd-4d13-8177-8eca8,0.2,,ee00-ab7d-4cb5-a2b5-879ce,0
d599-d6ec-46e7-9047-1173f,0.12,,69f4-1d03-4a57-9976-3c3a2,0
d74f-a4e6-4266-87a5-fc620,0.26,,52e2-7d4e-49d9-9e36-ea0a8,0
d88b-7275-4402-96ef-f7c07,0.13,,64ff-8695-418e-9a28-b435a,0
d8af-dceb-4ba8-a9ac-8c7a7,0.12,,fb38-ee16-4deb-98bf-cabf9,0
e3d6-55ea-43da-9b74-b7273,0.09,,fe22-52eb-4b14-a8e1-b58dc,0
eb0c-4cbd-4eee-9e3c-9f178,0.12,,7afd-96a9-4ae3-a274-5b125,0
039f-53c0-42d7-a4cf-f1851,0.24,,f8da-42f9-4b9d-85b3-38d76,0
05fd-f4bd-4195-94ec-346e9,0.25,,7301-df15-43dd-a2be-b1606,0
1dd1-9860-4ee7-bd50-97e00,0.15,,687c-7822-4d7a-9b48-e0434,0
2112-6d61-4311-9616-4f323,0.06,,b89c-9fac-4bc2-8d23-17bda,0
2438-5f44-48ae-bbc8-0c36f,0.12,,e3e0-18ab-4f65-8508-05093,0
4e38-341b-4061-8539-ee179,0.53,,387c-20ab-42ed-b83b-e70f9,0
4f7a-6fa2-42b2-8287-c6283,0.26,,cb51-8fc2-4f1d-8ca4-d6831,0
6986-37aa-43bc-a8ed-299dc,0.39,,37f4-e3d1-4136-941a-3a3ac,0
6ee3-912f-4ceb-811a-719a4,0.1,,cd16-511b-4aaf-a6d3-4f815,0
7047-7efd-4f4f-9384-06e60,0.09,,4dac-2d55-4a86-bc96-af1e2,0
910e-4dc6-447a-8966-8abe3,0.18,,8878-cd83-42b8-89c0-e603f,0
a799-2571-447b-b08a-93bdd,0.22,,ff01-919a-424d-9b74-f9fb9,0
a7f3-f4cf-4e93-ba1a-96ed3,0.18,,bd7e-a130-4234-a74b-0dff5,0
a8b1-3fbf-4c60-b01c-a1492,0.05,,2fab-b52f-441f-88c2-38095,0
bc99-7ff3-4aa6-9d05-eeee5,0.14,,81f0-72cd-44db-ab02-eafcf,0
e415-97e1-4b32-a243-224d4,0.3,,a2bc-7852-4171-94fb-61eb5,0
f3f8-9f80-446d-9d8a-fc99c,0.08,,e46b-82ff-43e4-8a39-94039,0
3f28-0cce-4b0c-9da9-0c501,0.3,,e46b-82ff-43e4-8a39-94039,0
4b20-3eb5-4fa4-93b3-1a855,0.31,,7907-6e7e-4c8d-8aff-6cf44,0
4b6b-5d64-4c1c-95be-23b1c,0.13,,7907-6e7e-4c8d-8aff-6cf44,0
4c15-40fc-4419-aaca-57a96,0.18,,5145-6eca-4783-b070-6eaea,0
5283-1203-42f6-a846-1bdb2,0.36,,40fb-f803-4a26-a9b6-da3ad,0
589f-1221-4826-9c4c-ed364,0.35,,fcd8-0c14-4e0d-bc5c-32017,0
5ace-4303-43a9-a710-e9366,0.03,,95ec-2c3d-4c62-b56f-d6013,0
5cd2-43e0-4fc2-80f8-822e5,0.35,,644f-f8d8-4459-9447-cc18d,0
69b5-12eb-4d74-833f-ed1a1,0.35,,1db9-9c5b-44ab-b056-599bb,0
7d0e-e67c-4d84-8881-45348,0.12,,af0e-d0fa-4c6d-a1ba-e9094,0
9157-9cac-4294-935b-2eeda,0.15,,0c8a-d695-4a14-bb6c-4d429,0
95ab-7d87-4671-8b2b-6102d,0.26,,e8f7-0c5d-4c36-86c7-77651,0
a7bb-cddf-4012-bde9-86bc6,0.31,,a7bc-ab4d-4096-b504-9cc86,0
aef2-7f95-460a-b50f-cc766,0.3,,930e-37ef-4145-987c-03717,0
b457-612d-4f19-9a7f-fe7de,0.16,,8570-3390-43b2-8464-243de,0
d450-ec25-4ab9-a5ea-b8058,0.41,,24a7-e10e-4f57-94bc-49c02,0
da69-315e-4d5f-ab19-61f13,0.25,,1227-443b-4445-8bab-26e43,0
ed38-8b60-462a-b90a-711d3,0.24,,c59a-b161-479b-8c73-14c71,0
fa08-a052-4e42-bf83-7436f,0.16,,88b6-ac47-4525-ac17-e4542,0
0962-9f56-447f-9e26-2a44a,0.3,,b112-5411-4929-897c-02c2c,0
1049-0d5c-4904-ad50-0c724,0.12,,282e-287a-44a5-b80d-166a7,0
3d61-6958-43cd-93b1-2544b,0.15,,b596-bd92-4242-af43-5093d,0
408b-26ca-48db-89c1-2c022,0.14,,a8c4-ae13-4a43-9143-b9f4f,0
423e-f482-4488-a31d-8e9d7,0.16,,eae5-a9f7-4e27-b10c-84115,0
5474-b2a2-4cb0-965d-1c921,0.28,,8e88-6a22-4feb-8a9e-48748,0
5793-85de-42c7-a192-070db,0.45,,8f23-2349-4a35-bdd5-5a30a,0
792d-04c0-41dd-8b84-0e443,0.14,,4a73-5dd6-4461-a454-3443d,0
79d3-907f-49df-ab1a-fa780,0.01,,6e4a-4288-4032-b622-54b70,0
882e-604c-4ec8-b613-82c24,0.16,,6ec8-5ae7-4e72-9428-ecad9,0
97a5-75d1-4e9f-871f-0d0ef,0.2,,8dac-31e0-4ee3-8ed5-63cd3,0
981d-f371-4521-9d8e-f16c1,0.23,,9382-aa92-4807-8b52-5fad7,0
a01f-6a50-4d4a-93cf-4904f,0.49,,40bf-c8b7-409f-b079-88903,0
ae74-d215-4369-89b2-4fe78,0.34,,e58a-6e63-4c36-98d9-f79b7,0
e3f1-71af-4f6a-a118-b15a3,0.43,,1246-05c1-405f-9351-0c1da,0
f86e-c86e-490e-b634-7d5df,0.13,,e551-02b5-4742-9aba-8d89c,0
0e7f-6724-49d7-bdcf-61068,0.28,,90f2-18e5-412e-8eb7-5c69c,0
0f24-0d15-4c46-b954-09325,0.2,,80fb-5e96-40f5-a56e-5e088,0
18f4-6b14-4e1f-930f-111e5,0.36,,99d0-b83f-40df-9481-ee8fe,0
4041-7e67-444a-bb64-57bec,0.13,,f035-ab6f-4f08-a5bb-ca9de,0
4315-82e4-4ad0-8985-c05e3,0.17,,01f2-9be4-4883-9fc2-2877e,0
4cc3-cc59-496e-a2d9-ec463,0.08,,3306-fc2a-4788-98db-a2ded,0
5ed6-1294-4556-9b09-a591b,0.18,,6637-0e75-4137-aa2f-6408a,0
6681-4daf-4400-95d2-00810,0.16,,6bd9-0ef4-4740-82fc-08d95,0
804e-2ddf-42b0-90f4-209fb,0.29,,eb02-14c6-431c-9c06-27243,0
9593-14b9-4366-b462-e2141,0.06,,d0e9-44eb-4f93-bf34-1dcc5,0
a656-5de4-4e6e-9990-ecc71,0.15,,f4e0-6671-4d00-b3c5-51b9a,0
b4c8-f78d-479a-8bc1-ce9dc,0.21,,d098-f137-4f6e-8319-13e7a,0
cf1a-fc86-4a5e-964d-dd4fa,0.12,,caf9-89cc-4029-a328-db5ee,0
d28f-1732-4aae-b5c7-096c3,0.15,,5a0a-d309-430f-93fc-841e6,0
dc97-a9c8-4add-894f-6fd42,0.28,,f77d-83f6-4c62-99a0-d3311,0
f7b6-c894-4e63-8f80-26339,0.23,,b5b4-7668-45f6-8666-f1f85,0
1f00-dbe0-4f99-8b32-577c3,0.06,,c10e-40bd-4e94-821d-c10a4,0
559a-f31f-49df-b076-06f4f,0.23,,6f29-4950-43e5-a1b3-169a7,0
5d4c-9042-49c9-b8ee-49bcf,0.22,,8313-3ad0-4b2a-aa06-51633,0
60bd-5df8-435d-b082-bd6de,0.08,,b5d3-a4f8-4cc7-8305-9d394,0
c8c5-7d33-468e-bdfa-8af40,0.21,,6c7e-4ba2-46c6-ab95-4ff29,0
ec9d-a412-4c38-8def-fa39e,0.2,,0400-f947-4516-94ac-cc167,0
f254-3798-4c23-abd4-95f9b,0.19,,5808-ecaf-4a86-9ac3-3ec25,0
f456-6021-4bc3-b328-53127,0.24,,f381-d1dc-4598-b0f1-d08ec,0
03a7-506b-414a-af5f-c08d0,0.15,,3483-6128-4a2a-9202-45b63,0
05f1-9fc6-4a76-bf93-a4b3c,0.18,,d842-f3ad-4860-a142-2025b,0.01
087f-7ab4-4525-9908-50ef1,0.26,,d699-2f9b-4d82-8893-52e32,0.01
206e-511c-4062-85bc-129e6,0.12,,a162-bbc1-4587-84b9-321b0,0.01
4b08-6895-46dc-9752-e7d1a,0.22,,3a53-6b78-40c6-bc2e-27f9e,0.01
703a-3389-4359-b56b-84974,0.55,,0a5d-c38f-49b5-a732-0bf49,0.01
762a-d951-46ae-b686-dfc74,0.18,,9f93-3f83-4f15-8528-5994e,0.01
862d-5368-411d-b879-0efe0,0.25,,503e-27f5-4574-ab52-3c9bc,0.01
a615-c86a-4f24-aedf-3dac0,0.19,,bac0-8cda-4e5a-84e3-845a3,0.01
ce3a-a18b-4c28-ba78-e7d65,0.3,,b76e-d9ba-4aae-b607-65d09,0.01
d7ae-c37e-45b2-a493-51e8b,0.38,,9473-2ee8-4c61-9357-9d7f5,0.01
e253-4a6a-4d66-a39e-d5646,0.31,,9473-2ee8-4c61-9357-9d7f5,0.01
e97a-7425-4c8e-9c43-30bef,0.21,,b622-9890-44fe-a123-49592,0.01
f2be-3cfe-4ca0-840c-a5c4d,0.25,,b622-9890-44fe-a123-49592,0.01
261c-e301-460e-91fb-1ea22,0.15,,ac94-8e97-4b5d-a1e4-a611c,0.01
3b74-1d47-4d7f-8e79-2fd1b,0.38,,2ffb-06a7-42dd-b343-f0aaf,0.01
8e80-3403-4390-bc35-ea84d,0.1,,5948-71b6-4cb1-8d10-af227,0.01
91a9-43ad-47b8-9b80-ebf89,0.3,,ca26-f350-4e87-a471-19bae,0.01
a90f-da60-4cf4-a66f-c0c43,0.29,,749e-f382-4764-9ea7-514c1,0.01
be9e-4631-4df7-8f95-3c072,0.13,,1289-98a5-46f6-a85f-9cff9,0.01
caf5-29f2-43f5-9b4d-6473e,0.16,,1458-a658-4dab-9224-cb787,0.01
0e7a-7039-46b6-bc57-ba1e8,0.22,,5330-98a7-4caf-9f9c-53159,0.01
0efb-a6c8-47d1-999b-7ccd3,0.28,,1f9b-7553-4ed5-8ea3-d9f79,0.01
1a29-10da-4520-8b70-67960,0.17,,bb82-af43-4178-a69e-8c212,0.01
487d-bab3-417b-9751-f6ed9,0.17,,55d0-639a-4945-b3d8-a1b30,0.01
51ad-abf1-4f71-a8a7-1216e,0.24,,8420-8427-4398-a48b-2d77d,0.01
6536-3490-46cc-934f-4a768,0.14,,743b-4989-4577-96ee-87f37,0.01
6a41-5c1b-4eb5-8dbb-76ba0,0.07,,5678-321f-4369-9c7a-ab86a,0.01
856f-bf49-4275-83bb-40c06,0.06,,b106-9e15-49b8-9a40-4450f,0.01
8832-3435-4d41-b239-5b0d2,0.24,,ad28-15ca-477c-b59b-7d7ef,0.01
91f8-56f0-47f8-a7b7-e0071,0.09,,a793-453c-46db-9e33-25b60,0.01
99fb-7a1b-43db-9e3d-1c404,0.42,,fec9-5cdd-4b53-ade2-1d683,0.01
c731-ce70-41a2-a3d4-e8575,0.13,,52e1-7100-4d79-9838-25913,0.01
eff5-06ab-42e3-9eae-7f52f,0.1,,583f-1184-4b24-b0a3-3efc6,0.01
f0c7-d74a-41d4-a2da-3cded,0.23,,6754-674d-4ed6-9a23-1a334,0.01
1035-f7d7-44f1-9172-b6c6e,0.12,,c30c-48dd-4590-9016-6d87f,0.01
3dc4-3a81-4556-ab95-eb381,0.23,,9b72-bc81-48f6-a518-fc79c,0.01
4a9f-c669-4ff6-84cb-5ee90,0.51,,4451-92f1-42c4-9f8d-74f59,0.01
675d-f4fa-4604-b1b1-dc663,0.21,,1fc8-8c6e-4bba-be1f-e25f4,0.01
b26a-c272-43ec-9496-7c596,0.27,,0f5e-60be-4613-9cf2-d31ad,0.01
c09d-fe4d-45bd-8a22-dee36,0.15,,685b-9bf6-4f0a-a27b-82e34,0.01
d108-6d0b-425d-84c4-4cb28,0.24,,30e3-bff8-4fd3-b9a2-712c9,0.01
dca7-f70c-4d0f-9c4c-46d18,0.6,,f55f-897b-43bc-8a75-57a2e,0.01
f3e1-b4c2-4015-b37b-f3483,0.09,,7549-d2f8-4ed6-bdd4-99240,0.01
f569-1627-4ba0-934a-0d280,0.32,,66df-3f12-452a-aa82-9ab52,0.01
1e73-3f65-43bd-ab75-6e232,0.23,,8f47-a584-4918-a4a5-23f5b,0.01
1f02-db61-4779-b29c-d115d,0.41,,5cc1-30ab-4ffc-8732-df027,0.01
35a0-730e-41d7-a226-8a243,0.17,,8b83-66b7-4757-b5a5-966cf,0.01
6f69-0aa4-4448-bbb5-2d551,0.21,,0bc1-a8ac-4ce9-adc6-ccda2,0.01
706d-ab62-4c6e-b009-6bdde,0.13,,2f76-3716-4157-b049-75897,0.01
9040-6f2b-49ac-a985-c02fc,0.12,,7812-be60-47e2-8dcb-ad73d,0.01
9da1-5300-4a2a-ba83-32520,0.16,,ce81-94e4-4fce-8bf7-2fa96,0.01
a01a-7de3-413f-9319-8d01e,0.26,,ed0d-a634-40ba-8984-b1ef2,0.01
a243-04ed-4dbd-a33d-388e6,0.23,,d798-97e4-4e1f-9f22-7e27c,0.01
a637-b50e-4119-9b80-05b6e,0.25,,de1e-ea0f-4689-bc1c-3553a,0.01
aeb2-a7e8-48ce-8bcb-d534c,0.41,,14ef-979d-4251-9a48-3d2fd,0.01
c972-52cf-4988-8b15-9a54d,0.34,,03de-4af8-47fa-a627-eb3e7,0.01
eb02-ca8f-4b0d-ae96-72c4f,0.22,,c8f8-d0cc-45f8-9c12-acea8,0.01
04f8-54f6-4ac4-9f3c-0b48d,0.37,,470d-301a-4a89-b753-0c555,0.01
41c5-16d7-445e-a529-5fc5f,0.36,,a459-879b-4405-827f-e190e,0.01
4628-cd5d-4eec-b0c7-87dbc,0.2,,4a7f-f301-4273-84b0-ca0ae,0.01
59a4-e50b-4f77-964c-c63a8,0.23,,5f07-9970-434e-bf7f-4c7b4,0.01
651f-80e5-4036-9e7e-cc678,0.22,,41f8-5c36-41fb-bc53-e2d2a,0.01
6b7d-d9ca-41c1-934a-9760b,0.29,,fb3a-8564-4d25-ab49-ce81f,0.01
7314-6856-4d0d-a7d8-d32d5,0.34,,28b7-935d-4e31-8984-aa0bb,0.01
7a7a-de7e-43a5-8f1a-f27ba,0.09,,a9ba-46c6-4f76-986f-bf257,0.01
b090-0b33-4799-bcf9-429a3,0.11,,5edf-8184-4d88-9da1-0c6b3,0.01
c1db-28d4-4f52-8f01-b7b82,0.25,,90ac-dbc7-4b2e-a064-8c153,0.01
ca8d-dda3-4fb6-9a7f-3ec67,0.29,,a5c6-471c-4b63-970a-35250,0.01
e96c-aecd-476e-95c8-aac46,0.15,,5adc-3187-45cb-a8d1-675c5,0.01
2c3e-8e0f-4025-a457-505fc,0.14,,ad20-ac56-463d-99b9-df0e9,0.01
3f90-5984-4dd1-8009-6306d,0.37,,90de-0a98-4c6a-a048-e1ca8,0.01
6120-5077-4934-a0f6-a7c3f,0.21,,4064-0ab3-4bdb-897b-bb370,0.01
6ab5-d3ce-4d49-9d4e-37ada,0.38,,e00e-fc3d-4b76-8c00-18c00,0.01
6cc9-acdd-4c46-90b6-f6715,0.04,,41c3-e722-420a-8f78-244fa,0.01
7e9d-9e21-4c1f-9667-5879a,0.3,,aa99-bdef-43cb-ad8c-ce6a1,0.01
9159-be32-4086-ade3-9fc92,0.31,,2683-6616-41b9-b800-21b0d,0.01
96d2-ee3f-4f71-9c6c-2da8c,0.4,,2683-6616-41b9-b800-21b0d,0.01
9c9e-9315-4d5d-9d75-1a2a5,0.33,,b15c-707a-4908-b2f2-03e6d,0.01
a298-d08f-49a2-8d58-ccfb8,0.47,,b15c-707a-4908-b2f2-03e6d,0.01
a377-9874-4d16-af1d-2778b,0.12,,9f0c-2cc0-4b59-a92d-a5374,0.01
b2f2-43ce-467e-b874-48349,0.19,,a7c5-8d01-4761-9509-5a88c,0.01
ce46-b483-4fc0-88dd-182df,0.23,,1a54-4105-441e-85bb-992df,0.01
ee7d-ba52-495b-80d9-22b8c,0.05,,bf82-b0e0-4752-b883-c248f,0.01
0f39-a149-49af-9a3f-6ab30,0.24,,315c-3762-46f3-a4f9-cb52c,0.01
49ef-0872-43b8-a918-b308a,0.13,,b682-66c1-4357-8409-88d96,0.01
6230-9297-4830-ae97-50916,0.23,,645b-7d12-4f73-a616-b5870,0.01
6bf4-4f42-4aee-86d1-4002f,0.18,,8280-ba06-487d-ad5c-98530,0.01
7e1d-c58d-4327-8dba-ec520,0.01,,3e6b-af4d-48a7-9191-a04a4,0.01
8fcb-0dbb-4eb7-ae7e-e4cad,0.08,,d649-0513-4002-a7c8-a3621,0.01
8fd1-ce03-467f-b2a6-32e60,0.06,,3771-a7ea-41ec-a61e-b5475,0.01
9210-1804-41ca-be62-e5864,0.1,,8015-b7bb-47d5-ad61-0509d,0.01
9a44-a649-4b4a-9dda-18c3c,0.11,,568f-b0cd-4537-8884-bf2b2,0.01
a508-872b-4302-a029-73872,0.43,,4fb6-e3d0-4e80-b4d8-645f5,0.01
a79a-b69d-42a4-918a-4a7f9,0.01,,b27b-1668-454e-8ec5-dcb20,0.01
aa2c-c666-477b-a835-d70bf,0.3,,de88-92c6-4f1d-bf8d-f4e25,0.01
d4ba-fc23-4761-89f5-a9ee1,0.26,,3450-97db-40eb-b4a2-82d9a,0.01
dfd5-b0f6-435c-bb95-17876,0.21,,9e03-f068-4cda-b228-68e1a,0.01
e625-1677-418c-9a12-61855,0.14,,9689-82cd-4615-993e-25fb3,0.01
ea84-9f30-4d41-bac4-ecce7,0.07,,d4dc-8550-4ac3-ab99-8dd3b,0.01
1202-1e8a-4a0e-a9eb-4421d,0.28,,11ca-7e3a-4138-8e94-6c8ac,0.01
1e94-1439-44d0-8031-86178,0.52,,1060-d0da-4265-ab36-18202,0.01
20ad-f0da-4f96-8e49-fe520,0.19,,ce1f-da68-4452-8333-c8efe,0.01
2c3e-621f-4ce1-9b04-122fa,0.13,,ca17-903f-4f0c-9312-c01ce,0.01
2d7d-4869-4d2f-8ad3-efe84,0.26,,6aed-b82c-49b1-9acd-469a3,0.01
31a8-f896-4b64-86b1-e0107,0.17,,e76a-0a5f-4a15-91de-f6cd8,0.01
3b78-5bab-4d2a-9e1f-d1766,0.1,,617c-40b8-4239-a095-2cf87,0.01
3dac-4a16-40af-8305-dd47f,0.22,,1753-af6d-49af-9602-2c975,0.01
63ec-e43e-4abf-8172-50694,0.26,,a633-24a5-4843-a8bd-54045,0.01
8106-836d-482a-b4fc-38223,0.06,,9c18-de1a-4ceb-9e8a-84253,0.01
899f-6c81-4d02-a34f-dc320,0.26,,715c-2e6d-4eba-829a-a180a,0.01
8bc4-0925-49d5-bf71-e302e,0.2,,715c-2e6d-4eba-829a-a180a,0.01
9296-d7c0-48ea-a9e3-00bfb,0.25,,48c1-dde6-4da4-a021-f153f,0.01
9f4a-6cfd-49ad-8d21-029d4,0.51,,48c1-dde6-4da4-a021-f153f,0.01
b2ab-22d2-459b-820a-8e445,0.04,,e450-13aa-47d7-94f3-c7929,0.01
b2ed-da87-4737-bc71-be3d1,0.1,,df9f-aa94-4978-94c7-aec86,0.01
c042-07dc-40da-9399-6b76e,0.28,,10f2-0abb-4d9f-a7b7-0edc0,0.01
cd97-9384-465d-97fe-31ce9,0.19,,3595-81e3-4ede-b618-3dd19,0.01
d594-7c76-4a03-a911-317c6,0.37,,8f1d-c490-4da6-96cf-375e2,0.01
da7e-e386-4419-bae2-85422,0.34,,38ca-84b2-46ad-a9dc-87fa4,0.01
ec8e-af36-474a-9c32-563fd,0.24,,0046-7075-4028-a58a-95cc4,0.01
f66f-294c-44ec-a68b-e3d06,0.49,,4217-dc3d-4742-bed6-b6e55,0.01
197e-2e47-4ed2-9765-0c367,0.36,,dcd5-8e20-477c-99e0-37574,0.01
490e-3c9d-40e4-9db4-6dc42,0.41,,2404-3d06-4416-a176-37a16,0.01
54c3-23d2-4796-9f6b-6b72f,0.1,,c4de-a764-4f7f-8e2e-fd8df,0.01
5589-1354-4ae8-8e41-0f9b4,0.06,,bdc0-7723-4fbf-a54e-b1c8c,0.01
6c75-fae5-4ab5-8d2d-46070,0.1,,fd13-c2fb-4cf1-b8e2-c001d,0.01
70e7-9d8e-4d35-baae-c52dd,0.36,,179e-a546-43c2-bff3-4a354,0.01
7f6a-024b-44cd-a059-4ddd9,0.31,,750e-c244-4713-9c9f-a0485,0.01
be09-c9eb-4f28-9bbc-28131,0.06,,4bb1-705d-424d-8da3-e24f0,0.01
c402-e24c-4265-99ce-00e01,0.39,,6390-44cf-467e-b70f-da133,0.01
c764-a3df-4ead-a52a-09bed,0.23,,a762-2d61-42bb-8b47-4646d,0.01
cf27-e2c4-4e8e-ae2d-10b7e,0.14,,fcea-bffd-406b-8cbc-a22d6,0.01
d8b0-fdcf-4bd1-8d69-0786c,0.21,,6365-8db9-4939-b1ab-5ba88,0.01
de45-af28-4d4f-bb13-7efda,0.15,,13c8-fa04-4389-a193-087b7,0.01
